[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.067042,	91.774\247.615,	 7.024\216.538,	   52.129222,	   -1.#IND00,	   84.749761,	   31.076713,	   -1.#IND00,	   -1.#IND00
    0.067458,	92.643\255.258,	 6.013\232.364,	   49.943738,	   -1.#IND00,	   86.630543,	   22.893856,	   -1.#IND00,	   -1.#IND00
    0.067875,	93.517\262.826,	 5.497\253.035,	   48.553278,	   -1.#IND00,	   88.019522,	    9.790164,	   -1.#IND00,	   -1.#IND00
    0.068292,	94.360\270.323,	 5.690\275.263,	   49.519519,	   54.821126,	   88.670116,	   -4.940307,	   -5.301607,	  -33.310977
    0.068708,	95.129\277.759,	 6.555\294.019,	   52.485128,	   84.873310,	   88.574580,	  -16.259902,	  -32.388182,	 -203.500943
    0.069125,	95.790\285.151,	 7.842\307.739,	   50.616258,	  103.526333,	   87.947317,	  -22.587384,	  -52.910075,	 -332.443800
    0.069542,	96.330\292.517,	 9.314\317.606,	   48.760257,	  119.809140,	   87.016731,	  -25.088963,	  -71.048883,	 -446.413291
    0.069958,	96.753\299.872,	10.829\324.848,	   49.130665,	  135.022168,	   85.924299,	  -24.975532,	  -85.891503,	 -539.672220
    0.070375,	97.063\307.233,	12.309\330.256,	   52.036521,	  123.866977,	   84.753990,	  -23.023296,	  -71.830456,	 -451.324059
    0.070792,	97.268\314.613,	13.689\334.484,	   50.303459,	  105.858724,	   83.578811,	  -19.870448,	  -55.555264,	 -349.064015
    0.071208,	97.387\322.023,	14.919\338.026,	   48.392967,	  103.471653,	   82.468445,	  -16.002627,	  -55.078687,	 -346.069589
    0.071625,	97.440\329.471,	15.955\341.173,	   48.699593,	  115.084690,	   81.485038,	  -11.702908,	  -66.385097,	 -417.109858
    0.072042,	97.446\336.962,	16.768\344.043,	   51.765206,	   82.093895,	   80.678598,	   -7.080948,	  -30.328689,	 -190.560773
    0.072458,	97.425\344.507,	17.335\346.687,	   50.356212,	   -1.#IND00,	   80.089606,	   -2.180195,	   -1.#IND00,	   -1.#IND00
    0.072875,	97.402\352.105,	17.647\349.203,	   48.432294,	   -1.#IND00,	   79.754830,	    2.901884,	   -1.#IND00,	   -1.#IND00
    0.073292,	97.400\359.746,	17.708\351.569,	   48.241295,	   18.778580,	   79.692870,	    8.177024,	   29.462715,	  185.119692
    0.073708,	97.438\ 7.416,	17.529\353.783,	   51.064192,	   -1.#IND00,	   79.909049,	   13.633563,	   -1.#IND00,	   -1.#IND00
    0.074125,	97.523\15.104,	17.114\356.088,	   50.894131,	   -1.#IND00,	   80.409096,	   19.016110,	   -1.#IND00,	   -1.#IND00
    0.074542,	97.662\22.799,	16.462\358.785,	   48.758492,	   -1.#IND00,	   81.199785,	   24.013918,	   -1.#IND00,	   -1.#IND00
    0.074958,	97.852\30.489,	15.569\ 2.158,	   48.512104,	   -1.#IND00,	   82.283328,	   28.330398,	   -1.#IND00,	   -1.#IND00
    0.075375,	98.086\38.163,	14.438\ 6.470,	   51.366638,	   -1.#IND00,	   83.647538,	   31.692684,	   -1.#IND00,	   -1.#IND00
