[mea_500kV_1]二次侧数据---kV/kA
	TIME	Va	Vb	Vc	Ia	Ib	Ic	Vab	Vbc	Vca	freq	P	Q	pf	3I0	3V0
    0.579542,	   70.496515,	   59.294448,	   48.051211,	    0.000000,	    0.000000,	    0.000000,	   83.180310,	   54.718055,	   85.922776,	   49.999993,	10794.509165,	-3391.103870,	    0.954031,	    0.000000,	    1.507814
    0.586208,	   70.496518,	   59.294453,	   39.942415,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966208,	   92.708896,	   49.999993,	10080.987771,	-1992.989953,	    0.981013,	    0.000000,	  -40.377913
    0.592875,	   70.496525,	   59.294456,	   56.240208,	    0.000000,	    0.000000,	    0.000000,	   83.258981,	   50.261735,	   95.816653,	   49.999993,	11648.553477,	-2074.119527,	    0.984515,	    0.000000,	   38.870076
    0.599542,	   70.496515,	   59.294448,	   48.051192,	    0.000000,	    0.000000,	    0.000000,	   83.180328,	   54.718051,	   85.922772,	   49.999993,	10794.507345,	-3391.103776,	    0.954031,	    0.000000,	    1.507860
    0.606208,	   70.496518,	   59.294453,	   39.942428,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966202,	   92.708907,	   49.999993,	10080.988762,	-1992.988424,	    0.981013,	    0.000000,	  -40.377935
    0.612875,	   70.496525,	   59.294456,	   56.240215,	    0.000000,	    0.000000,	    0.000000,	   83.258963,	   50.261745,	   95.816645,	   49.999993,	11648.554306,	-2074.121150,	    0.984515,	    0.000000,	   38.870052
    0.619542,	   70.496515,	   59.294448,	   48.051173,	    0.000000,	    0.000000,	    0.000000,	   83.180346,	   54.718046,	   85.922768,	   49.999993,	10794.505526,	-3391.103682,	    0.954030,	    0.000000,	    1.507906
    0.626208,	   70.496518,	   59.294453,	   39.942440,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966196,	   92.708918,	   49.999993,	10080.989753,	-1992.986895,	    0.981013,	    0.000000,	  -40.377957
    0.632875,	   70.496525,	   59.294456,	   56.240222,	    0.000000,	    0.000000,	    0.000000,	   83.258945,	   50.261756,	   95.816638,	   49.999993,	11648.555134,	-2074.122773,	    0.984515,	    0.000000,	   38.870027
    0.639542,	   70.496515,	   59.294448,	   48.051154,	    0.000000,	    0.000000,	    0.000000,	   83.180364,	   54.718042,	   85.922764,	   49.999993,	10794.503706,	-3391.103588,	    0.954030,	    0.000000,	    1.507952
