[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.065375,	88.797\216.332,	 2.891\297.435,	   52.037817,	   84.677680,	   85.905951,	  -81.103214,	  -32.639863,	 -205.082304
    0.065792,	89.413\224.241,	 3.361\308.187,	   50.199951,	   95.447987,	   86.051670,	  -83.946002,	  -45.248035,	 -284.301786
    0.066208,	90.133\232.101,	 3.905\316.063,	   49.034858,	   83.963821,	   86.227938,	  -83.961499,	  -34.928963,	 -219.465141
    0.066625,	90.930\239.895,	 4.469\322.270,	   49.693095,	   -1.#IND00,	   86.461244,	  -82.374881,	   -1.#IND00,	   -1.#IND00
    0.067042,	91.774\247.615,	 5.017\327.499,	   52.129222,	   -1.#IND00,	   86.756938,	  -79.884330,	   -1.#IND00,	   -1.#IND00
    0.067458,	92.643\255.258,	 5.534\331.913,	   49.943738,	   -1.#IND00,	   87.109238,	  -76.655908,	   -1.#IND00,	   -1.#IND00
    0.067875,	93.517\262.826,	 6.010\335.627,	   48.553278,	   -1.#IND00,	   87.507043,	  -72.801511,	   -1.#IND00,	   -1.#IND00
    0.068292,	94.360\270.323,	 6.431\338.847,	   49.519519,	   -1.#IND00,	   87.928562,	  -68.524624,	   -1.#IND00,	   -1.#IND00
    0.068708,	95.129\277.759,	 6.785\341.854,	   52.485128,	   -1.#IND00,	   88.344693,	  -64.095066,	   -1.#IND00,	   -1.#IND00
    0.069125,	95.790\285.151,	 7.059\344.702,	   50.616258,	   -1.#IND00,	   88.730650,	  -59.551110,	   -1.#IND00,	   -1.#IND00
    0.069542,	96.330\292.517,	 7.253\347.237,	   48.760257,	   -1.#IND00,	   89.077421,	  -54.719983,	   -1.#IND00,	   -1.#IND00
    0.069958,	96.753\299.872,	 7.366\349.573,	   49.130665,	   -1.#IND00,	   89.386962,	  -49.700881,	   -1.#IND00,	   -1.#IND00
    0.070375,	97.063\307.233,	 7.396\352.019,	   52.036521,	   -1.#IND00,	   89.666606,	  -44.785480,	   -1.#IND00,	   -1.#IND00
    0.070792,	97.268\314.613,	 7.335\354.701,	   50.303459,	   -1.#IND00,	   89.933252,	  -40.087539,	   -1.#IND00,	   -1.#IND00
    0.071208,	97.387\322.023,	 7.178\357.590,	   48.392967,	   -1.#IND00,	   90.209448,	  -35.566688,	   -1.#IND00,	   -1.#IND00
    0.071625,	97.440\329.471,	 6.925\ 0.618,	   48.699593,	   -1.#IND00,	   90.515364,	  -31.147235,	   -1.#IND00,	   -1.#IND00
    0.072042,	97.446\336.962,	 6.583\ 3.885,	   51.765206,	   -1.#IND00,	   90.863141,	  -26.923075,	   -1.#IND00,	   -1.#IND00
    0.072458,	97.425\344.507,	 6.164\ 7.713,	   50.356212,	   -1.#IND00,	   91.260790,	  -23.205995,	   -1.#IND00,	   -1.#IND00
    0.072875,	97.402\352.105,	 5.676\12.189,	   48.432294,	   -1.#IND00,	   91.725399,	  -20.084232,	   -1.#IND00,	   -1.#IND00
    0.073292,	97.400\359.746,	 5.123\16.850,	   48.241295,	   -1.#IND00,	   92.276970,	  -17.103463,	   -1.#IND00,	   -1.#IND00
    0.073708,	97.438\ 7.416,	 4.535\21.784,	   51.064192,	   -1.#IND00,	   92.902764,	  -14.368037,	   -1.#IND00,	   -1.#IND00
